-9182982472567095000,808f7e181d3,41,Zubat,37.7610194868343,-122.424826107689,1469520947756,1469520265926
-9182982313653305000,808f7e3d3a9,66,Machop,37.7611184032929,-122.422083042047,1469520591236,1469520266000
-9182921819038941000,808fb5423c7,46,Paras,37.3020020643483,-122.00893150341,1469520991964,1469520276746
-9182921705222308000,808fb55cc23,41,Zubat,37.302018539129,-122.002890943993,1469521158572,1469520276749
-9182921647240249000,808fb56a6cb,19,Rattata,37.3036087559138,-122.011329868172,1469520892556,1469520277186
-9182921819038941000,808fb54277b,19,Rattata,37.3036758459097,-122.007865546609,1469520471596,1469520277165
-9182921819038941000,808fb54277b,19,Rattata,37.3036758459097,-122.007865546609,1469520471596,1469520277282
-9182921720254693000,808fb5595a1,19,Rattata,37.3012842558287,-121.99809379127,-1,1469520277295
-9182921720254693000,808fb559245,16,Pidgey,37.301722611896,-121.996139335361,1469520753268,1469520277303
-9182898295503061000,808fcaa764b,19,Rattata,37.3018693456521,-121.992408004348,1469520542188,1469520277279
